,runtime,site
103,0.0013828277587890625,sugungum_1970
104,0.004004001617431641,dapelogo_2007
105,0.0009951591491699219,dielmo_1990
106,0.0016019344329833984,laye_2007
107,0.0015769004821777344,matsari_1970
108,0.0012118816375732422,namawala_1991
109,0.001377105712890625,ndiop_1993
110,0.0012385845184326172,rafin_marke_1970
111,0.0012629032135009766,sugungum_1970
112,0.0009732246398925781,dapelogo_2007
113,0.0011110305786132812,dielmo_1990
114,0.0014939308166503906,laye_2007
115,0.0012590885162353516,matsari_1970
116,0.0012960433959960938,namawala_1991
117,0.0017991065979003906,ndiop_1993
118,0.0015020370483398438,rafin_marke_1970
119,0.0013439655303955078,sugungum_1970
120,0.0015518665313720703,dapelogo_2007
121,0.0016109943389892578,dielmo_1990
122,0.002269268035888672,laye_2007
123,0.0018818378448486328,matsari_1970
124,0.001322031021118164,namawala_1991
125,0.002076864242553711,ndiop_1993
126,0.0017540454864501953,rafin_marke_1970
127,0.0017132759094238281,sugungum_1970
128,0.001390218734741211,dapelogo_2007
129,0.0012192726135253906,dielmo_1990
130,0.001153707504272461,laye_2007
131,0.001232147216796875,matsari_1970
132,0.0013358592987060547,namawala_1991
133,0.0012049674987792969,ndiop_1993
134,0.0013599395751953125,rafin_marke_1970
135,0.0013012886047363281,sugungum_1970
136,0.0014410018920898438,dapelogo_2007
137,0.0014510154724121094,dielmo_1990
138,0.0011589527130126953,laye_2007
139,0.0012607574462890625,matsari_1970
140,0.0011720657348632812,namawala_1991
141,0.0012662410736083984,ndiop_1993
142,0.001196146011352539,rafin_marke_1970
143,0.0011742115020751953,sugungum_1970
144,0.0010249614715576172,dapelogo_2007
145,0.0015180110931396484,dielmo_1990
146,0.0012259483337402344,laye_2007
147,0.0011708736419677734,matsari_1970
148,0.0015261173248291016,namawala_1991
149,0.0012998580932617188,ndiop_1993
150,0.0014772415161132812,rafin_marke_1970
151,0.002254962921142578,sugungum_1970
152,0.0020880699157714844,dapelogo_2007
153,0.0027136802673339844,dielmo_1990
154,0.002190828323364258,laye_2007
155,0.0014660358428955078,matsari_1970
156,0.0014569759368896484,namawala_1991
157,0.0014629364013671875,ndiop_1993
158,0.0011870861053466797,rafin_marke_1970
159,0.001257181167602539,sugungum_1970
160,0.0011601448059082031,dapelogo_2007
161,0.0014679431915283203,dielmo_1990
162,0.001439809799194336,laye_2007
163,0.0014219284057617188,matsari_1970
164,0.001154184341430664,namawala_1991
165,0.0010747909545898438,ndiop_1993
166,0.001039743423461914,rafin_marke_1970
167,0.0009341239929199219,sugungum_1970
168,0.000982046127319336,dapelogo_2007
169,0.0008950233459472656,dielmo_1990
170,0.0009801387786865234,laye_2007
171,0.0008943080902099609,matsari_1970
172,0.0013439655303955078,namawala_1991
173,0.0009400844573974609,ndiop_1993
174,0.0009648799896240234,rafin_marke_1970
175,0.0009050369262695312,sugungum_1970
176,0.0009682178497314453,dapelogo_2007
177,0.0010960102081298828,dielmo_1990
178,0.0011882781982421875,laye_2007
179,0.0013279914855957031,matsari_1970
180,0.0011868476867675781,namawala_1991
181,0.0011317729949951172,ndiop_1993
182,0.0011959075927734375,rafin_marke_1970
183,0.001207113265991211,sugungum_1970
184,0.0010330677032470703,dapelogo_2007
185,0.0009288787841796875,dielmo_1990
186,0.0009100437164306641,laye_2007
187,0.0009620189666748047,matsari_1970
188,0.0009438991546630859,namawala_1991
189,0.0014240741729736328,ndiop_1993
190,0.001055002212524414,rafin_marke_1970
191,0.0009551048278808594,sugungum_1970
