,Falciparum_MSP_Variants_init,Falciparum_Nonspecific_Types_init,MSP1_Merozoite_Kill_Fraction_init,Max_Individual_Infections_init,Falciparum_PfEMP1_Variants_init,Antigen_Switch_Rate_init,Nonspecific_Antigenicity_Factor_init,Falciparum_MSP_Variants_optim,Falciparum_Nonspecific_Types_optim,MSP1_Merozoite_Kill_Fraction_optim,Max_Individual_Infections_optim,Falciparum_PfEMP1_Variants_optim,Antigen_Switch_Rate_optim,Nonspecific_Antigenicity_Factor_optim,loss,lr,stop_epoch,optimizer
75,168,138,0.60,9,2212,0.0000000046,0.000014,168.0,138.0,0.4492242634296417,9.0,2212.0,0.6626186966896057,0.2748582661151886,0.30696091055870056,0.1,121,adam
149,327,247,0.44,8,3040,0.0065,0.0018,327.0,247.0,0.799574077129364,8.0,3040.0,0.7606862783432007,0.3658088147640228,0.30702707171440125,0.1,151,adam
72,328,344,0.26,10,4758,0.00000072,0.061,328.0,344.0,0.8210697770118713,10.0,4758.0,0.9900000095367432,0.6572237610816956,0.30732184648513794,0.1,172,adam
117,270,306,0.18,7,3585,0.21,0.0000000023,270.0,306.0,0.8498592376708984,7.0,3585.0,0.9900000095367432,0.4932170510292053,0.30745476484298706,0.1,154,adam
74,203,408,0.68,8,4481,0.0000000098,0.0033,203.0,408.0,0.9195666313171387,8.0,4481.0,0.9900000095367432,0.5784975290298462,0.30753982067108154,0.1,132,adam
47,69,160,0.47,10,9915,0.000042,0.000000017,69.0,160.0,0.9891798496246338,10.0,9915.0,0.7260174751281738,0.2448655217885971,0.30755123496055603,0.1,150,adam
144,44,19,0.34,7,6020,0.22,0.28,44.0,19.0,0.3067852258682251,7.0,6020.0,0.25228434801101685,0.4399622082710266,0.30883705615997314,0.1,158,adam
36,75,267,0.83,10,1413,0.000030,0.99,75.0,267.0,0.27715176343917847,10.0,1413.0,0.029477983713150024,0.2225852906703949,0.3088449239730835,0.1,117,adam
70,478,193,0.37,8,5184,0.0025,0.00033,478.0,193.0,0.009999999776482582,8.0,5184.0,0.9900000095367432,0.7984686493873596,0.3091367483139038,0.1,139,adam
26,476,440,0.85,7,6117,0.00000019,0.00014,476.0,440.0,1.0,7.0,6117.0,0.9900000095367432,0.8527911901473999,0.30965113639831543,0.1,125,adam
173,59,42,0.053,9,5236,0.00048,0.00019,59.0,42.0,0.5900206565856934,9.0,5236.0,0.7458447217941284,0.3999958634376526,0.3100958466529846,0.1,134,adam
4,271,413,0.82,11,3452,0.024,0.00013,271.0,413.0,1.0,11.0,3452.0,0.9900000095367432,0.40133950114250183,0.3102293312549591,0.1,104,adam
127,481,243,0.58,8,7388,0.37,0.10,481.0,243.0,1.0,8.0,7388.0,0.9765384197235107,0.9239884614944458,0.311430424451828,0.1,137,adam
83,295,304,0.74,10,2254,0.0021,0.000000061,295.0,304.0,0.6289045810699463,10.0,2254.0,0.7025854587554932,0.2812533974647522,0.3114464581012726,0.1,107,adam
102,210,333,0.23,7,6445,0.000000011,0.0000012,210.0,333.0,1.0,7.0,6445.0,0.9900000095367432,0.7308351993560791,0.31145432591438293,0.1,167,adam
138,122,146,0.92,11,4240,0.00000015,0.0000000012,122.0,146.0,0.8894756436347961,11.0,4240.0,0.7850409150123596,0.41123172640800476,0.313035249710083,0.1,110,adam
133,434,176,0.12,9,2162,0.000001,0.010,434.0,176.0,1.0,9.0,2162.0,0.5584278702735901,0.22818906605243683,0.31321799755096436,0.1,124,adam
114,460,368,0.96,9,4884,0.0000000017,0.59,460.0,368.0,1.0,9.0,4884.0,0.9900000095367432,0.6506691575050354,0.31339114904403687,0.1,167,adam
14,337,210,0.51,6,2815,0.000035,0.00010,337.0,210.0,0.6773120164871216,6.0,2815.0,0.5959395170211792,0.3214443325996399,0.3145420551300049,0.1,126,adam
24,310,115,0.93,7,3424,0.0000028,0.000042,310.0,115.0,0.009999999776482582,7.0,3424.0,0.862221360206604,0.527590811252594,0.3148803114891052,0.1,121,adam
181,383,99,0.12,7,7701,0.0000003,0.000037,383.0,99.0,0.9721390008926392,7.0,7701.0,0.676575243473053,0.7899739146232605,0.3150481879711151,0.1,142,adam
41,363,387,0.72,6,2609,0.000000049,0.036,363.0,387.0,0.9449350237846375,6.0,2609.0,0.6567021608352661,0.2873675227165222,0.3151264190673828,0.1,127,adam
86,96,442,0.72,6,761,0.03,0.0000000026,96.0,442.0,0.3123621344566345,6.0,761.0,9.999999717180685e-10,0.3313102424144745,0.3156469464302063,0.1,140,adam
174,489,282,0.94,8,2140,0.028,0.0000039,489.0,282.0,0.6255429983139038,8.0,2140.0,0.6617536544799805,0.22763177752494812,0.3161499500274658,0.1,150,adam
183,306,378,0.98,11,1804,0.00016,0.0000047,306.0,378.0,0.6229361295700073,11.0,1804.0,0.7569493055343628,0.19906845688819885,0.3162926137447357,0.1,108,adam
176,218,372,0.46,11,4295,0.00000036,0.0024,218.0,372.0,0.306734561920166,11.0,4295.0,0.7853863835334778,0.5970860123634338,0.31648892164230347,0.1,142,adam
171,287,64,0.62,10,7071,0.063,0.0000094,287.0,64.0,1.0,10.0,7071.0,0.9900000095367432,0.7447630763053894,0.31652867794036865,0.1,146,adam
168,459,237,0.89,10,1340,0.0000000024,0.0000000017,459.0,237.0,1.0,10.0,1340.0,0.3815481960773468,0.1191762313246727,0.3165890574455261,0.1,127,adam
79,90,217,0.47,11,1986,0.0000075,0.000000036,90.0,217.0,0.38860607147216797,11.0,1986.0,0.6937302947044373,0.2094106823205948,0.3169702887535095,0.1,158,adam
76,281,432,0.59,9,4640,0.0000034,0.000071,281.0,432.0,0.6854708194732666,9.0,4640.0,0.9900000095367432,0.6571318507194519,0.3170572519302368,0.1,212,adam
13,221,49,0.98,8,5035,0.0000013,0.0000002,221.0,49.0,0.9334055185317993,8.0,5035.0,0.5305678844451904,0.4514591693878174,0.3175486922264099,0.1,135,adam
96,346,106,0.90,7,8530,0.00000012,0.0000023,346.0,106.0,1.0,7.0,8530.0,0.9051463603973389,0.8988500833511353,0.31815746426582336,0.1,121,adam
137,324,184,0.39,11,1594,0.087,0.00000023,324.0,184.0,0.7262037396430969,11.0,1594.0,0.5498855113983154,0.17209716141223907,0.3183235228061676,0.1,114,adam
46,264,73,0.87,8,2518,0.34,0.00017,264.0,73.0,0.9757029414176941,8.0,2518.0,0.3726961016654968,0.21223916113376617,0.31902772188186646,0.1,175,adam
194,235,44,0.23,11,7981,0.000016,0.000000024,235.0,44.0,1.0,11.0,7981.0,0.6460480690002441,0.6210343241691589,0.3199610412120819,0.1,148,adam
57,299,325,0.80,11,3611,0.00092,0.0000014,299.0,325.0,0.5655633807182312,11.0,3611.0,0.7335503101348877,0.45891308784484863,0.3201535940170288,0.1,165,adam
3,160,345,0.69,6,7111,0.00000039,0.0013,160.0,345.0,1.0,6.0,7111.0,0.9900000095367432,0.7203803062438965,0.32017117738723755,0.1,165,adam
166,142,38,0.26,10,1457,0.92,0.016,142.0,38.0,0.08780078589916229,10.0,1457.0,0.45952072739601135,0.0672929659485817,0.3207220733165741,0.1,117,adam
104,301,30,0.24,9,2098,0.00000043,0.0000029,301.0,30.0,0.5599808692932129,9.0,2098.0,0.6033143401145935,0.30493876338005066,0.32073527574539185,0.1,115,adam
39,231,411,0.48,9,1234,0.00000011,0.16,231.0,411.0,1.0,9.0,1234.0,0.6235342621803284,9.999999717180685e-10,0.32120105624198914,0.1,125,adam
130,467,23,0.89,11,7451,0.00035,0.0000000087,467.0,23.0,0.1425483077764511,11.0,7451.0,0.4636262059211731,0.7152978777885437,0.32124602794647217,0.1,161,adam
1,467,351,0.57,7,8081,0.0023,0.000013,467.0,351.0,1.0,7.0,8081.0,0.8521227836608887,0.9476099014282227,0.3220288157463074,0.1,191,adam
110,211,46,0.14,8,7207,0.00013,0.000000021,211.0,46.0,0.9872474670410156,8.0,7207.0,0.6672487258911133,0.6111142039299011,0.32215455174446106,0.1,152,adam
