,Falciparum_MSP_Variants_init,Falciparum_Nonspecific_Types_init,MSP1_Merozoite_Kill_Fraction_init,Max_Individual_Infections_init,Falciparum_PfEMP1_Variants_init,Antigen_Switch_Rate_init,Nonspecific_Antigenicity_Factor_init,Falciparum_MSP_Variants_optim,Falciparum_Nonspecific_Types_optim,MSP1_Merozoite_Kill_Fraction_optim,Max_Individual_Infections_optim,Falciparum_PfEMP1_Variants_optim,Antigen_Switch_Rate_optim,Nonspecific_Antigenicity_Factor_optim,loss,lr,stop_epoch,optimizer,ll
515,415,111,0.82,8,3022,3.1e-08,0.00086,414.0,111.0,0.1307180076837539,8.0,3022.0,0.8920817375183105,0.7277946472167969,0.2956238687038421,0.5,143,adamax,18.012020213777934
516,25,96,0.43,9,4955,0.01,0.00038,25.0,96.0,0.0587159655988216,9.0,4954.0,0.9900000095367432,0.5629057884216309,0.2972508668899536,0.5,127,adamax,26.698238327275195
517,37,320,0.86,7,3688,0.24,0.0024,37.0,320.0,0.1492071896791458,7.0,3688.0,0.9900000095367432,0.5624179244041443,0.2975540459156036,0.5,208,adamax,25.175483110605633
518,83,288,0.2,6,3170,0.00033,1.2e-08,83.0,288.0,0.13643778860569,6.0,3170.0,0.9900000095367432,0.5669304132461548,0.2983198165893554,0.5,108,adamax,21.38810525846962
519,126,165,0.16,11,3970,1.5e-06,1.6e-08,126.0,165.0,0.1996755897998809,11.0,3970.0,0.9900000095367432,0.5857841968536377,0.2985905110836029,0.5,130,adamax,29.64880976353299
520,404,487,0.79,10,2578,0.001,3.3e-05,404.0,486.0,0.0268541295081377,10.0,2578.0,0.8827211260795593,0.8160277009010315,0.3024340569972992,0.5,123,adamax,19.74599082778865
521,48,12,0.45,8,2703,8.7e-08,0.0017,48.0,12.0,0.6516490578651428,8.0,2702.0,0.9539503455162048,0.1642222851514816,0.3032350242137909,0.5,169,adamax,11.740170684589398
522,43,230,0.66,8,2418,1.7e-09,0.0033,42.0,230.0,0.6750465631484985,8.0,2418.0,0.8866058588027954,0.1341528445482254,0.3034752905368805,0.5,123,adamax,9.97625655678905
523,393,221,1.0,10,3520,2.8e-06,3e-09,392.0,221.0,0.0099999997764825,10.0,3520.0,0.9900000095367432,0.8081486225128174,0.3036016821861267,0.5,135,adamax,22.169745456372333
524,398,162,0.63,11,4470,4.9e-09,1.5e-05,398.0,162.0,0.0099999997764825,11.0,4470.0,0.9693925380706788,0.8261222839355469,0.3099004626274109,0.5,105,adamax,27.16407619130228
525,430,492,0.19,11,3216,4.3e-08,0.00012,430.0,492.0,0.0099999997764825,10.0,3216.0,0.9193604588508606,0.8905754685401917,0.3148981928825378,0.5,105,adamax,18.80139194249297
526,108,145,0.89,9,117,2.4e-06,0.00011,108.0,145.0,1.0,9.0,117.0,9.999999717180683e-10,9.999999717180683e-10,0.3160840272903442,0.5,102,adamax,-3.686671831301504
527,340,23,0.52,9,4526,8.3e-05,1.1e-07,340.0,23.0,0.0099999997764825,9.0,4526.0,0.9900000095367432,0.7834596633911133,0.3179115056991577,0.5,199,adamax,26.23051246360074
528,103,151,0.79,7,1834,2.2e-05,2e-05,103.0,151.0,1.0,8.0,1834.0,0.9436359405517578,0.0065857516601681,0.3261130452156067,0.5,108,adamax,-3.810196721155193
529,210,189,0.92,9,987,2e-05,2.8e-05,210.0,189.0,0.9966253042221068,9.0,987.0,0.5562950968742371,0.0374490395188331,0.3269302546977997,0.5,106,adamax,0.5050060258322333
530,467,61,0.98,6,3343,0.00012,5.5e-05,466.0,61.0,0.1015225201845169,6.0,3342.0,0.9191640615463256,0.8069772124290466,0.3271473050117492,0.5,115,adamax,1.8706789296605555
531,424,43,0.72,6,9862,0.057,1.9e-09,424.0,43.0,0.15174500644207,6.0,9862.0,0.0275185853242874,0.894208550453186,0.336802065372467,0.5,183,adamax,14.545681614966123
532,447,20,0.081,8,1504,7.2e-08,0.15,447.0,20.0,0.8060014843940735,8.0,1504.0,0.9330894351005554,0.3965834975242615,0.3396827280521393,0.5,108,adamax,0.4298808705456605
533,159,479,0.073,6,450,0.019,0.00026,159.0,479.0,0.8620176911354065,6.0,450.0,0.804894745349884,9.999999717180683e-10,0.3414693772792816,0.5,127,adamax,-6.681191589586994
534,348,456,0.83,10,4133,0.38,0.0026,348.0,456.0,0.0099999997764825,10.0,4132.0,0.9900000095367432,0.9382882118225098,0.3452677428722381,0.5,138,adamax,25.790415269424347
535,387,220,0.55,7,3712,2.2e-08,5.9e-06,387.0,220.0,0.0099999997764825,7.0,3712.0,0.8868626356124878,0.8353161215782166,0.3460536599159241,0.5,189,adamax,24.096068745010488
536,279,231,0.88,9,4636,0.0045,2.4e-08,279.0,231.0,0.0099999997764825,10.0,4636.0,0.9900000095367432,0.8562202453613281,0.3483667075634002,0.5,119,adamax,27.68501598366825
537,173,176,0.59,7,3877,0.0029,2e-06,173.0,176.0,0.0099999997764825,7.0,3876.0,0.9900000095367432,0.6957701444625854,0.3543276190757751,0.5,117,adamax,28.964367628862405
538,459,136,0.51,8,4757,1.4e-08,1.5e-09,459.0,136.0,0.0099999997764825,8.0,4757.0,0.9900000095367432,0.8846665024757385,0.3589415252208709,0.5,109,adamax,6.784396335684824
539,334,60,0.21,7,5344,0.085,0.016,334.0,60.0,0.0250688102096319,8.0,5344.0,0.8929872512817383,0.8348031044006348,0.3589661121368408,0.5,141,adamax,27.615602468322766
540,30,206,0.61,10,569,1.2e-05,1.7e-06,30.0,206.0,0.4732592403888702,10.0,570.0,9.999999717180683e-10,9.999999717180683e-10,0.3595193326473236,0.5,137,adamax,-44.57519622960875
541,52,237,0.49,10,9191,1e-07,0.9,52.0,236.0,1.0,10.0,9191.0,0.5697005391120911,0.5831339955329895,0.3604449033737182,0.5,141,adamax,25.822991800719628
542,479,409,0.54,9,1471,0.0011,2e-07,480.0,408.0,0.1789882332086563,10.0,1470.0,0.8382167816162109,0.700506865978241,0.3648391664028168,0.5,125,adamax,-31.526139756631864
543,443,472,0.68,8,767,7.3e-06,2.9e-08,443.0,472.0,0.9802064299583436,8.0,766.0,0.9900000095367432,0.3339450359344482,0.3674491643905639,0.5,106,adamax,-7.222912882051679
544,253,247,0.05,6,330,0.013,5.1e-09,253.0,247.0,1.0,6.0,330.0,0.9900000095367432,0.023538626730442,0.3691683411598205,0.5,104,adamax,-4.449326721897623
545,258,127,0.46,11,5507,0.031,1.5e-08,258.0,127.0,1.0,11.0,5506.0,0.9900000095367432,0.6939053535461426,0.3741252422332763,0.5,130,adamax,6.588446168022276
546,199,110,0.6,10,6321,3.4e-09,2.8e-07,199.0,110.0,1.0,10.0,6321.0,0.9900000095367432,0.6783807277679443,0.3794728219509125,0.5,166,adamax,6.6143937583250985
547,487,429,0.63,7,4214,0.22,0.0051,487.0,429.0,0.0099999997764825,7.0,4214.0,0.9900000095367432,0.864239513874054,0.3827334940433502,0.5,123,adamax,5.792778066845394
548,62,134,0.53,8,6019,7.9e-06,4.1e-08,62.0,134.0,0.0213890094310045,8.0,6019.0,0.9900000095367432,0.7182601690292358,0.3830192983150482,0.5,118,adamax,27.66554988652127
549,232,117,0.61,11,6803,2.2e-09,0.00064,232.0,117.0,0.0099999997764825,11.0,6803.0,0.9389092326164246,0.9074342250823976,0.3903585374355316,0.5,193,adamax,22.572418490447152
550,439,28,0.41,11,1353,0.022,1e-06,439.0,28.0,1.0,11.0,1353.0,0.9900000095367432,0.0948900803923606,0.3930100202560425,0.5,106,adamax,-45.54431865278019
